Country Name,Country Code,Series Name,Series Code,1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Timor-Leste,TLS,Imports of goods and services (current LCU),NE.IMP.GNFS.CN,5450662.687,8076556.635,5647000,6498000,5643650,7354638.483,8211400.502,8672300,9811619.044,18852.28951,13899.26586,18533.16216,17710,20579.37613,23600,23681.02919,24627.21394,24312.78615,25091.6666,605536600,753136300,810276900,566191800,440139000,312191700,406808600,644645200,816519400,1079648900,1109758400,1400755300,1408654600,1033529600,1131451100,906884200,937594400,891109600,962964800,1004078400,1039875900,1317595300,1347906300,1380581800,1583732800,94793.21557
Timor-Leste,TLS,Imports of goods and services (current US$),NE.IMP.GNFS.CD,5450662.687,8076556.635,5647000,6498000,5643650,7354638.483,8211400.502,8672300,9811619.044,18852.28951,13899.26586,18533.16216,17710,20579.37613,23600,23681.02919,24627.21394,24312.78615,25091.6666,605536600,753136300,810276900,566191800,440139000,312191700,406808600,644645200,816519400,1079648900,1109758400,1400755300,1408654600,1033529600,1131451100,906884200,937594400,891109600,962964800,1004078400,1039875900,1317595300,1347906300,1380581800,1583732800,94793.21557
Timor-Leste,TLS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,5450662.687,8076556.635,5647000,6498000,5643650,7354638.483,8211400.502,8672300,9811619.044,18852.28951,13899.26586,18533.16216,17710,20579.37613,23600,23681.02919,24627.21394,24312.78615,25091.6666,25248.22062,25711.58815,29064.29806,0.921419194,35647.54404,0.196422854,1.868273788,1.601904085,6.121283906,6.596816215,3.439447432,4.705663346,3.47958036,4.002006812,2.342291332,2.703639303,0.333972461,0.423750962,3.08007813,-7.794473503,-16.20530079,-6.593643649,1.672485747,5.874992607,12.0853687,13.31304965
Timor-Leste,TLS,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,5450662.687,8076556.635,5647000,6498000,5643650,7354638.483,8211400.502,8672300,9811619.044,18852.28951,13899.26586,18533.16216,17710,20579.37613,23600,23681.02919,24627.21394,24312.78615,25091.6666,25248.22062,25711.58815,29064.29806,31731.25662,35647.54404,44241.90423,49704.70623,53568.30578,52225,48925,2.948148976,-3.165362569,1.091431829,0.907531561,0.875050684,0.796512619,0.77214711,112899.7128,-1.93E-06,-0.155797695,-1.179125756,-0.234481187,0.529826109,-3.269596713,0.241208161,94793.21557
Timor-Leste,TLS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,5450662.687,8076556.635,5647000,6498000,5643650,7354638.483,8211400.502,8672300,9811619.044,18852.28951,13899.26586,18533.16216,17710,20579.37613,23600,23681.02919,24627.21394,24312.78615,25091.6666,28.4272805,21.55921127,24.67526741,24.87366933,30.78841215,28.91251395,32.20428548,29.99741707,30.15551015,24.96286477,25.5964077,22.16024293,25.79649392,21.31998698,21.05070744,17.82775814,17.06307469,17.12938986,17.77135771,14.12915517,13.26215452,8.67018188,10.32462477,17.17981224,20.16052119,94793.21557
Timor-Leste,TLS,GDP per capita (current US$),NY.GDP.PCAP.CD,5450662.687,8076556.635,5647000,6498000,5643650,7354638.483,8211400.502,8672300,9811619.044,168.6210102,189.7946492,235.0647677,264.0669948,283.0580005,302.736982,344.0133276,348.864241,345.5909096,269.9873128,492.4576694,587.7006928,533.9824764,534.9011537,474.4207673,487.4645554,464.6670018,540.1545842,628.1532193,686.5792958,813.0601773,939.0452411,1022.619032,1204.568415,1224.749578,1319.592974,1335.543901,1266.17768,1219.465986,1562.364589,1630.869354,2684.926737,2343.249555,1502.411496,1331.970513,1340.964019
Timor-Leste,TLS,GNI (current US$),NY.GNP.MKTP.CD,5450662.687,8076556.635,5647000,6498000,5643650,7354638.483,8211400.502,8672300,9811619.044,258420521,297730400,378714300,437212900,481810400,529740000,618702700,644937500,656541300,454231100,515263400,632824300,759483000,662036200,681188800,844992400,1301035100,1969383200,3263559100,2523605700,3324140000,4581072100,4318281400,4151961100,3337735400,2788459200,2220458200,2257643600,2235769200,2869483800,2368614800,3463744900,3056820100,2293292400,2126875500,2026080430
Timor-Leste,TLS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,5450662.687,8076556.635,5647000,6498000,5643650,7354638.483,8211400.502,8672300,9811619.044,18852.28951,13899.26586,450,510,570,620,670,690,660,500,660,710,790,690,820,970,1360,1900,3040,2370,2870,3740,3570,3190,2700,2180,1730,1780,1790,2180,2040,2050,1820,1900,1650,1510
Timor-Leste,TLS,GNI per capita (current LCU),NY.GNP.PCAP.CN,5450662.687,8076556.635,5647000,6498000,5643650,7354638.483,8211400.502,8672300,9811619.044,339.872717,382.5501941,473.7967868,532.2537212,570.5321418,610.1969024,693.3936805,703.1713375,696.5733717,544.1868127,691.5470387,779.1013593,863.8744527,722.0548426,733.1911129,891.0498771,1332.212878,1959.801729,3161.049428,2383.498869,3064.630181,4126.322479,3805.038748,3583.308032,2824.034967,2313.822481,1807.731423,1803.657577,1752.226521,2205.691862,1786.214277,2565.472814,2232.404339,1656.660835,1518.504781,1428.308882
Timor-Leste,TLS,Gross capital formation (current US$),NE.GDI.TOTL.CD,5450662.687,8076556.635,5647000,6498000,5643650,7354638.483,8211400.502,8672300,9811619.044,18852.28951,13899.26586,18533.16216,17710,20579.37613,23600,23681.02919,24627.21394,24312.78615,25091.6666,123034100,144210500,131022500,109383000,75341500,72995800,55077700,101305900,203165500,355211400,376732400,733266000,696671000,583257400,624573900,587597900,653704800,564762800,558961700,544251600,356090400,521996900,340287600,426112100,561690900,94793.21557
